"Freq [GHz]","re(Zo(1)) [] - s='18um'","re(Zo(1)) [] - s='19um'","re(Zo(1)) [] - s='20um'","re(Zo(1)) [] - s='22um'","re(Zo(1)) [] - s='23.5um'","re(Zo(1)) [] - s='24.5um'","re(Zo(1)) [] - s='25.5um'","re(Zo(1)) [] - s='26.5um'"
18.6,50.9594581049557,50.0807889764279,49.5502394809323,48.2439186708717,47.4574474038798,46.6564093775497,46.4727279935614,45.8352805280739
18.7,50.9571702209381,50.0784479260195,49.5479626220028,48.2417717320487,47.4552731475908,46.6541955561687,46.4706730250027,45.8332289562452
18.8,50.9548887710251,50.0761128152079,49.545692679005,48.2396314674643,47.4531058862571,46.6519882726855,46.4686248313588,45.8311842118456
18.9,50.9526136383461,50.0737835680557,49.5434295240506,48.2374977607804,47.4509455009974,46.6497874213351,46.4665833264478,45.829146182821
19,50.9503447100561,50.0714601113453,49.5411730335273,48.2353704995386,47.4487918768764,46.6475929000311,46.464548426413,45.827114760753
19.1,50.948081877212,50.0691423744908,49.5389230879694,48.2332495750405,47.4466449027832,46.6454046102491,46.46252004966,45.8250898407475
19.2,50.9458250346537,50.0668302894534,49.5366795719317,48.2311348822331,47.4445044713125,46.6432224569149,46.4604981167967,45.8230713213278
19.3,50.9435740808878,50.0645237906583,49.5344423738675,48.229026319596,47.4423704786496,46.6410463482953,46.4584825505737,45.8210591043297
19.4,50.9413289179757,50.0622228149153,49.5322113860109,48.2269237890338,47.44024282446,46.638876195893,46.4564732758277,45.8190530948009
19.5,50.9390894514247,50.0599273013417,49.5299865042613,48.2248271957705,47.4381214117809,46.6367119143441,46.4544702194256,45.8170532009029
19.6,50.9368555900821,50.0576371912871,49.5277676280733,48.2227364482482,47.4360061469177,46.6345534213198,46.4524733102107,45.8150593338158
19.7,50.9346272460334,50.0553524282613,49.5255546603481,48.2206514580284,47.4338969393424,46.63240063743,46.4504824789503,45.8130714076469
19.8,50.9324043345026,50.0530729578641,49.5233475073296,48.2185721396961,47.431793701596,46.6302534861313,46.4484976582847,45.8110893393406
19.9,50.9301867737564,50.0507987277176,49.5211460785027,48.2164984107674,47.4296963491935,46.6281118936361,46.4465187826779,45.8091130485926
20,50.9279744850106,50.0485296873999,49.5189502864952,48.2144301915999,47.4276048005322,46.6259757888263,46.4445457883696,45.8071424577656
