"Freq [GHz]","lost_power_fraction [] - g_pillar_position='49.5um'","lost_power_fraction [] - g_pillar_position='62um'","lost_power_fraction [] - g_pillar_position='74.5um'","lost_power_fraction [] - g_pillar_position='87um'","lost_power_fraction [] - g_pillar_position='99.5um'","lost_power_fraction [] - g_pillar_position='112um'","lost_power_fraction [] - g_pillar_position='124.5um'","lost_power_fraction [] - g_pillar_position='137um'","lost_power_fraction [] - g_pillar_position='149.5um'","lost_power_fraction [] - g_pillar_position='162um'","lost_power_fraction [] - g_pillar_position='174.5um'","lost_power_fraction [] - g_pillar_position='187um'","lost_power_fraction [] - g_pillar_position='199.5um'"
37.1,0.0859697222830543,0.0847653905327669,0.0857907045116093,0.0837758701690385,0.0837202043572218,0.0873292981815152,0.0849546776119408,0.088054288038748,0.0862213682083053,0.0881300834138069,0.0857962221862355,0.0862648495474165,0.086059004031202
37.2,0.0860760526336132,0.0848769580458805,0.08590720701548,0.0838859056397882,0.0838312971631974,0.087444380595106,0.0850567883443653,0.088171738645027,0.0863267936860053,0.0882441485434331,0.0859205077679986,0.0863838893644502,0.0861646910103901
37.3,0.0861807526607073,0.0849865726795609,0.0860216675076849,0.0839941765880268,0.0839407525391683,0.0875575557132713,0.0851578672866289,0.0882870332263364,0.0864299083687088,0.0883563150385887,0.0860425714847987,0.0865008459367907,0.0862686002691725
37.4,0.0862838182198641,0.0850942266022121,0.0861340642121279,0.0841006756163134,0.0840485627081446,0.0876688138117939,0.0852578989560809,0.088400154157216,0.0865307400609842,0.0884665473049219,0.0861623620693958,0.0866156775341832,0.0863707250881358
37.5,0.0863852470061762,0.0851999145696532,0.0862443786006473,0.0842053974234532,0.0841547218575503,0.0877781478830395,0.085356868070686,0.0885110874351521,0.0866293210687951,0.088574812813523,0.0862798349692119,0.0867283482030196,0.0864710607305747
37.6,0.0864850385003926,0.0853036338424014,0.086352595380351,0.084308338740486,0.0842592260769993,0.0878855535329107,0.0854547595699822,0.0886198226360375,0.0867256877551823,0.0886810822040988,0.0863949523954455,0.0868388277979915,0.0865696043815736
37.7,0.0865831939127519,0.0854053840979657,0.0864587024700034,0.084409498264232,0.0843620732936694,0.087991028879259,0.0855515586360935,0.0887263528568647,0.0868198800939953,0.0887853293742927,0.0865076833195892,0.0869470919715575,0.0866663550847652
37.8,0.0866797081407038,0.0855051577170962,0.0865626805516024,0.0845088678687921,0.0844632550881909,0.0880945650050141,0.0856472452183634,0.0888306638195352,0.0869119310038696,0.0888875214342388,0.0866179915130525,0.0870531111068714,0.0867613049044803
37.9,0.0867745857653272,0.0856029590253165,0.0866645238166071,0.0846064500358711,0.0845627729058592,0.0881961648242734,0.0857418048459407,0.0889327554908155,0.0870018870538891,0.0889876387777596,0.0867258590962944,0.0871568721541069,0.0868544564658656
38,0.0868678408808174,0.0856988040914377,0.0867642400490618,0.0847022577231929,0.0846606379518302,0.0882958429120154,0.0858352289923292,0.0890326419904543,0.0870898069263558,0.0890856755931469,0.0868312868122908,0.0872583788113322,0.0869458228237483
38.1,0.086959481063546,0.0857927013744759,0.0868618296627902,0.0847962968386956,0.0847568548691325,0.0883936064944417,0.0859275040309751,0.0891303297896071,0.0871757407459389,0.0891816195107767,0.0869342698472414,0.0873576291915925,0.0870354098373951
